City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,tshabong,-26.05,22.45,298.51,33,3,3.75,BW,1709329542
312,beledweyne,4.7358,45.2036,299.95,62,1,6.45,SO,1709329543
313,soligalich,59.0778,42.2864,274.09,96,100,0.65,RU,1709329544
314,nadym,65.5333,72.5167,260.18,97,88,5.72,RU,1709329099
315,turkmenbasy,40.0222,52.9552,269.58,68,0,0.0,TM,1709329544
316,barakani,-12.1356,44.4317,301.25,78,59,1.73,KM,1709329545
317,qianzhou,28.3167,109.7167,275.72,87,47,0.76,CN,1709329098
318,chonchi,-42.6128,-73.8092,290.71,92,98,1.65,CL,1709329546
319,kangiwa,12.5521,3.8187,301.85,10,100,4.38,NG,1709329546
320,pauini,-7.7136,-66.9764,299.13,94,79,1.15,BR,1709329547
321,woods creek,47.8787,-121.8985,278.84,85,92,1.79,US,1709329547
322,lorengau,-2.0226,147.2712,300.32,82,98,1.12,PG,1709329548
323,tibiri,13.5627,7.0485,300.1,12,92,5.84,NE,1709329548
324,crateus,-5.1783,-40.6775,298.63,85,92,2.1,BR,1709329549
325,ca mau,9.1769,105.15,299.09,79,66,4.57,VN,1709329549
326,pocone,-16.2567,-56.6228,305.58,45,35,2.6,BR,1709329362
327,emerald,-23.5333,148.1667,297.23,77,0,3.73,AU,1709329550
328,okha,53.5739,142.9478,251.54,98,28,4.23,RU,1709329081
329,ampanihy,-24.7,44.75,297.07,58,0,4.03,MG,1709329551
330,belmonte,-15.8631,-38.8828,300.76,82,5,4.63,BR,1709329031
331,lompoc,34.6391,-120.4579,289.7,69,100,7.72,US,1709329552
332,tsiombe,-25.3,45.4833,297.18,79,50,5.48,MG,1709329104
333,novyy urgal,51.0736,132.5642,246.35,100,96,1.03,RU,1709329553
334,zheleznodorozhnyy,55.7503,38.0042,275.57,100,100,0.89,RU,1709329553
335,whakatane,-37.9585,176.9854,295.31,75,31,1.79,NZ,1709329432
336,rach gia,10.0167,105.0833,299.05,76,61,4.87,VN,1709329554
337,anadyr,64.75,177.4833,259.43,84,20,14.0,RU,1709329555
338,porto novo,6.4965,2.6036,301.05,82,94,3.63,BJ,1709329468
339,opuwo,-18.0607,13.84,293.63,76,100,0.97,NA,1709329556
340,hastings,50.8552,0.5729,280.11,76,96,10.21,GB,1709329429
341,burang,30.25,81.1667,267.3,96,100,2.41,CN,1709329557
342,mgandu,-5.95,34.1333,289.92,93,26,1.17,TZ,1709329557
343,palikir - national government center,6.9248,158.1611,301.62,74,100,5.14,FM,1709329558
344,naha,26.2125,127.6811,287.53,88,75,11.32,JP,1709329558
345,bridlington,54.0831,-0.1919,279.83,83,21,4.02,GB,1709329559
346,luanda,-8.8368,13.2343,299.15,89,75,1.54,AO,1709329429
347,tutoia,-2.7619,-42.2744,299.62,86,18,2.63,BR,1709329560
348,riachao,-7.3619,-46.6172,298.51,82,85,1.39,BR,1709329560
349,yonan-up,37.9089,126.1611,269.39,51,3,2.68,KP,1709329561
